product-link href,media-image__image src,product-link,money-amount__main,product-grid-product-info-colors__text
https://www.zara.com/de/en/zip-up-flowing-jacket-p01437408.html,https://static.zara.net/assets/public/0310/3ec1/951c4f7fb769/0172ac153a1e/01437408422-e1/01437408422-e1.jpg?ts=1742224746337&w=289,ZIP-UP FLOWING JACKET,59.95 EUR,
https://www.zara.com/de/en/leather-effect-overshirt-p05070308.html,https://static.zara.net/assets/public/f432/ff1a/72654452b77d/658336dc7537/05070608506-e1/05070608506-e1.jpg?ts=1742224742901&w=289,LEATHER EFFECT OVERSHIRT,39.95 EUR,2
https://www.zara.com/de/en/relaxed-fit-flowing-shirt-p07545400.html,https://static.zara.net/assets/public/fe8b/5f1d/e09f4aca95c8/70cbbb1f96d0/07545400250-e1/07545400250-e1.jpg?ts=1731488410657&w=289,RELAXED FIT FLOWING SHIRT,39.95 EUR,1
https://www.zara.com/de/en/straight-leg-denim-bermuda-shorts-p08062480.html,https://static.zara.net/assets/public/85f5/b3a2/1dd84ba29285/cce6451cbfd7/08062480427-e1/08062480427-e1.jpg?ts=1741853726420&w=289,STRAIGHT-LEG DENIM BERMUDA SHORTS,29.95 EUR,5
https://www.zara.com/de/en/relaxed-fit-flowing-shirt-p07545400.html,https://static.zara.net/assets/public/5c4e/5f53/0d2b423889bc/81365369233a/07545400800-e1/07545400800-e1.jpg?ts=1731488410665&w=289,RELAXED FIT FLOWING SHIRT,39.95 EUR,1
https://www.zara.com/de/en/straight-fit-jeans-with-topstitching-p07223401.html,https://static.zara.net/assets/public/e3b0/560a/e3a84c5cb96d/166541a79d62/07223401405-e1/07223401405-e1.jpg?ts=1741950376279&w=289,STRAIGHT FIT JEANS WITH TOPSTITCHING,49.95 EUR,
https://www.zara.com/de/en/straight-leg-denim-bermuda-shorts-p08062480.html,https://static.zara.net/assets/public/d877/b5cc/a05849f9ba11/fc1e73d379d5/08062480822-e1/08062480822-e1.jpg?ts=1741853725616&w=289,STRAIGHT-LEG DENIM BERMUDA SHORTS,29.95 EUR,5
https://www.zara.com/de/en/suede-leather-overshirt-p04416308.html,https://static.zara.net/assets/public/f28a/1837/433e4e6e9cc7/970304568095/04416308716-e1/04416308716-e1.jpg?ts=1741853722811&w=289,SUEDE LEATHER OVERSHIRT,179.00 EUR,
https://www.zara.com/de/en/baggy-fit-denim-bermuda-shorts-p05585400.html,https://static.zara.net/assets/public/9ba5/dd83/fb154d6e954d/887aed204414/05585400400-e1/05585400400-e1.jpg?ts=1740472868493&w=289,BAGGY FIT DENIM BERMUDA SHORTS,39.95 EUR,2
https://www.zara.com/de/en/100-linen-trousers-p01063303.html,https://static.zara.net/assets/public/a664/a140/c56f4785b48d/27912cf7e2a8/01063303052-e1/01063303052-e1.jpg?ts=1741688960308&w=289,100% LINEN TROUSERS,49.95 EUR,1
https://www.zara.com/de/en/leather-penny-loafers-p12617520.html,https://static.zara.net/assets/public/4717/fed5/a96f4daba5a3/3615915b53e0/12617520700-e1/12617520700-e1.jpg?ts=1740487172641&w=289,LEATHER PENNY LOAFERS,79.95 EUR,
https://www.zara.com/de/en/regular-fit-chino-trousers-p00706869.html,https://static.zara.net/assets/public/585b/1ab3/0fa040e49b93/87406465a3cf/00706869800-e1/00706869800-e1.jpg?ts=1741688978870&w=289,REGULAR FIT CHINO TROUSERS,39.95 EUR,3
https://www.zara.com/de/en/baggy-fit-denim-bermuda-shorts-p05585400.html,https://static.zara.net/assets/public/8c2d/4b40/c4bf4af6b66d/50623fece06b/05585400407-e1/05585400407-e1.jpg?ts=1740472925822&w=289,BAGGY FIT DENIM BERMUDA SHORTS,39.95 EUR,2
https://www.zara.com/de/en/baggy-fit-denim-bermuda-shorts-p05585400.html,https://static.zara.net/assets/public/6e62/69fc/572c415087ae/00db924d4c41/00774401800-e1/00774401800-e1.jpg?ts=1740472918223&w=289,BAGGY FIT DENIM BERMUDA SHORTS,39.95 EUR,2
https://www.zara.com/de/en/slim-fit-comfort-trousers-p06861441.html,https://static.zara.net/assets/public/124b/1611/35d540cebda6/4bd4ee6c0c08/06861441812-e1/06861441812-e1.jpg?ts=1741342469203&w=289,SLIM FIT COMFORT TROUSERS,39.95 EUR,6
https://www.zara.com/de/en/ribbed-knit-polo-shirt-p07140410.html,https://static.zara.net/assets/public/7d06/54d6/20b74b9090a1/62be2e7fb36e/07140410251-e1/07140410251-e1.jpg?ts=1741281769681&w=289,RIBBED KNIT POLO SHIRT,39.95 EUR,2
https://www.zara.com/de/en/ribbed-knit-polo-shirt-p07140410.html,https://static.zara.net/assets/public/5ce8/0206/b3654ada885c/6a97082429f6/07140410700-e1/07140410700-e1.jpg?ts=1741281771197&w=289,RIBBED KNIT POLO SHIRT,39.95 EUR,2
https://www.zara.com/de/en/ribbed-knit-polo-shirt-p07140410.html,https://static.zara.net/assets/public/b1cd/f273/d0ec425c8e52/90f00e9b5cc6/07140410401-e1/07140410401-e1.jpg?ts=1741281768363&w=289,RIBBED KNIT POLO SHIRT,39.95 EUR,2
